coder,system,primitive,tier,level
J1_CLAUDE,S1,C1,ABSENT,0
J1_CLAUDE,S1,C2,ABSENT,0
J1_CLAUDE,S1,C3,NUCLEAR,3
J1_CLAUDE,S1,C4,INFERRED,1
J1_CLAUDE,S1,C5,PRESENT,2
J1_CLAUDE,S1,I1,NUCLEAR,3
J1_CLAUDE,S1,I2,ABSENT,0
J1_CLAUDE,S1,I3,ABSENT,0
J1_CLAUDE,S1,I4,INFERRED,1
J1_CLAUDE,S1,T1,NUCLEAR,3
J1_CLAUDE,S1,T2,PRESENT,2
J1_CLAUDE,S1,T3,PRESENT,2
J1_CLAUDE,S1,T4,ABSENT,0
J1_CLAUDE,S1,M1,PRESENT,2
J1_CLAUDE,S1,M2,INFERRED,1
J1_CLAUDE,S1,M3,ABSENT,0
J1_CLAUDE,S1,M4,ABSENT,0
J1_CLAUDE,S1,W1,ABSENT,0
J1_CLAUDE,S1,W2,PRESENT,2
J1_CLAUDE,S1,W3,PRESENT,2
J1_CLAUDE,S1,W4,ABSENT,0
J1_CLAUDE,S1,S1,NUCLEAR,3
J1_CLAUDE,S1,S2,NUCLEAR,3
J1_CLAUDE,S1,S3,NUCLEAR,3
J1_CLAUDE,S1,S4,NUCLEAR,3
J1_CLAUDE,S1,CO1,NUCLEAR,3
J1_CLAUDE,S1,CO2,PRESENT,2
J1_CLAUDE,S1,CO3,PRESENT,2
J1_CLAUDE,S1,CO4,INFERRED,1
J1_CLAUDE,S1,N1,ABSENT,0
J1_CLAUDE,S1,N2,PRESENT,2
J1_CLAUDE,S1,N3,PRESENT,2
J1_CLAUDE,S1,N4,PRESENT,2
J1_CLAUDE,S1,N5,PRESENT,2
J1_CLAUDE,S2,C1,NUCLEAR,3
J1_CLAUDE,S2,C2,NUCLEAR,3
J1_CLAUDE,S2,C3,NUCLEAR,3
J1_CLAUDE,S2,C4,PRESENT,2
J1_CLAUDE,S2,C5,PRESENT,2
J1_CLAUDE,S2,I1,PRESENT,2
J1_CLAUDE,S2,I2,ABSENT,0
J1_CLAUDE,S2,I3,ABSENT,0
J1_CLAUDE,S2,I4,NUCLEAR,3
J1_CLAUDE,S2,T1,ABSENT,0
