coder,system,primitive,present
J1_CLAUDE,S1,C1,0
J1_CLAUDE,S1,C2,1
J1_CLAUDE,S1,C3,1
J1_CLAUDE,S1,C4,1
J1_CLAUDE,S1,C5,0
J1_CLAUDE,S1,I1,1
J1_CLAUDE,S1,I2,1
J1_CLAUDE,S1,I3,0
J1_CLAUDE,S1,I4,1
J1_CLAUDE,S1,T1,1
J1_CLAUDE,S1,T2,1
J1_CLAUDE,S1,T3,1
J1_CLAUDE,S1,T4,0
J1_CLAUDE,S1,M1,1
J1_CLAUDE,S1,M2,1
J1_CLAUDE,S1,M3,1
J1_CLAUDE,S1,M4,0
J1_CLAUDE,S1,W1,1
J1_CLAUDE,S1,W2,1
J1_CLAUDE,S1,W3,1
J1_CLAUDE,S1,W4,0
J1_CLAUDE,S1,S1,1
J1_CLAUDE,S1,S2,1
J1_CLAUDE,S1,S3,1
J1_CLAUDE,S1,S4,1
J1_CLAUDE,S1,CO1,1
J1_CLAUDE,S1,CO2,1
J1_CLAUDE,S1,CO3,1
J1_CLAUDE,S1,CO4,0
J1_CLAUDE,S1,N1,1
J1_CLAUDE,S1,N2,1
J1_CLAUDE,S1,N3,1
J1_CLAUDE,S1,N4,1
J1_CLAUDE,S1,N5,1
J1_CLAUDE,S2,C1,1
J1_CLAUDE,S2,C2,1
J1_CLAUDE,S2,C3,1
J1_CLAUDE,S2,C4,1
J1_CLAUDE,S2,C5,1
J1_CLAUDE,S2,I1,1
J1_CLAUDE,S2,I2,0
J1_CLAUDE,S2,I3,1
J1_CLAUDE,S2,I4,1
J1_CLAUDE,S2,T1,0
J1_CLAUDE,S2,T2,1
J1_CLAUDE,S2,T3,0
J1_CLAUDE,S2,T4,1
J1_CLAUDE,S2,M1,1
J1_CLAUDE,S2,M2,1
J1_CLAUDE,S2,M3,1
J1_CLAUDE,S2,M4,1
J1_CLAUDE,S2,W1,1
J1_CLAUDE,S2,W2,1
J1_CLAUDE,S2,W3,1
J1_CLAUDE,S2,W4,1
J1_CLAUDE,S2,S1,1
J1_CLAUDE,S2,S2,0
J1_CLAUDE,S2,S3,1
J1_CLAUDE,S2,S4,1
J1_CLAUDE,S2,CO1,1
J1_CLAUDE,S2,CO2,1
J1_CLAUDE,S2,CO3,1
